band_digits,family,sample_index,probable_prime_reps,exponent_vector,factor_digit_lengths,d_value,n_digits,n_bits,n_log10,leading16,trailing16,z_sci,neg_log10_z,status
1,probable_prime,0,64,"1","1",2,1,2,0.301029995663981195213739,2,2,1,0.000000000000000000000000,ok
1,probable_prime,1,64,"1","1",2,1,2,0.301029995663981195213739,2,2,1,0.000000000000000000000000,ok
1,probable_prime,2,64,"1","1",2,1,2,0.301029995663981195213739,2,2,1,0.000000000000000000000000,ok
1,probable_prime,3,64,"1","1",2,1,2,0.301029995663981195213739,2,2,1,0.000000000000000000000000,ok
1,semiprime_balanced,0,64,"1,1","1,1",4,1,3,0.778151250383643632508767,6,6,1.666666666666666666666667e-1,0.778151250383643632508767,ok
1,semiprime_balanced,1,64,"1,1","1,1",4,1,3,0.778151250383643632508767,6,6,1.666666666666666666666667e-1,0.778151250383643632508767,ok
1,semiprime_balanced,2,64,"1,1","1,1",4,1,3,0.778151250383643632508767,6,6,1.666666666666666666666667e-1,0.778151250383643632508767,ok
1,semiprime_balanced,3,64,"1,1","1,1",4,1,3,0.778151250383643632508767,6,6,1.666666666666666666666667e-1,0.778151250383643632508767,ok
1,prime_square,0,64,"2","1",3,1,3,0.602059991327962390427478,4,4,5.000000000000000000000000e-1,0.301029995663981195213739,ok
1,prime_square,1,64,"2","1",3,1,3,0.602059991327962390427478,4,4,5.000000000000000000000000e-1,0.301029995663981195213739,ok
1,prime_square,2,64,"2","1",3,1,3,0.602059991327962390427478,4,4,5.000000000000000000000000e-1,0.301029995663981195213739,ok
1,prime_square,3,64,"2","1",3,1,3,0.602059991327962390427478,4,4,5.000000000000000000000000e-1,0.301029995663981195213739,ok
1,prime_cube,0,64,"3","1",4,1,4,0.903089986991943585641217,8,8,1.250000000000000000000000e-1,0.903089986991943585641217,ok
1,prime_cube,1,64,"3","1",4,1,4,0.903089986991943585641217,8,8,1.250000000000000000000000e-1,0.903089986991943585641217,ok
1,prime_cube,2,64,"3","1",4,1,4,0.903089986991943585641217,8,8,1.250000000000000000000000e-1,0.903089986991943585641217,ok
1,prime_cube,3,64,"3","1",4,1,4,0.903089986991943585641217,8,8,1.250000000000000000000000e-1,0.903089986991943585641217,ok
2,probable_prime,0,64,"1","2",2,2,4,1.041392685158225040750200,11,11,1,0.000000000000000000000000,ok
2,probable_prime,1,64,"1","2",2,2,4,1.041392685158225040750200,11,11,1,0.000000000000000000000000,ok
2,probable_prime,2,64,"1","2",2,2,4,1.041392685158225040750200,11,11,1,0.000000000000000000000000,ok
2,probable_prime,3,64,"1","2",2,2,4,1.041392685158225040750200,11,11,1,0.000000000000000000000000,ok
2,semiprime_balanced,0,64,"1,1","1,1",4,2,4,1.000000000000000000000000,10,10,1e-1,1.000000000000000000000000,ok
2,semiprime_balanced,1,64,"1,1","1,1",4,2,4,1.000000000000000000000000,10,10,1e-1,1.000000000000000000000000,ok
2,semiprime_balanced,2,64,"1,1","1,1",4,2,4,1.000000000000000000000000,10,10,1e-1,1.000000000000000000000000,ok
2,semiprime_balanced,3,64,"1,1","1,1",4,2,4,1.000000000000000000000000,10,10,1e-1,1.000000000000000000000000,ok
2,prime_square,0,64,"2","1",3,2,5,1.397940008672037609572522,25,25,2.000000000000000000000000e-1,0.698970004336018804786261,ok
2,prime_square,1,64,"2","1",3,2,5,1.397940008672037609572522,25,25,2.000000000000000000000000e-1,0.698970004336018804786261,ok
2,prime_square,2,64,"2","1",3,2,5,1.397940008672037609572522,25,25,2.000000000000000000000000e-1,0.698970004336018804786261,ok
2,prime_square,3,64,"2","1",3,2,5,1.397940008672037609572522,25,25,2.000000000000000000000000e-1,0.698970004336018804786261,ok
2,prime_cube,0,64,"3","1",4,2,5,1.431363764158987311885084,27,27,3.703703703703703703703704e-2,1.431363764158987311885084,ok
2,prime_cube,1,64,"3","1",4,2,5,1.431363764158987311885084,27,27,3.703703703703703703703704e-2,1.431363764158987311885084,ok
2,prime_cube,2,64,"3","1",4,2,5,1.431363764158987311885084,27,27,3.703703703703703703703704e-2,1.431363764158987311885084,ok
2,prime_cube,3,64,"3","1",4,2,5,1.431363764158987311885084,27,27,3.703703703703703703703704e-2,1.431363764158987311885084,ok
2,squarefree_3,0,64,"1,1,1","1,1,1",8,2,5,1.477121254719662437295028,30,30,3.703703703703703703703704e-5,4.431363764158987311885084,ok
2,squarefree_3,1,64,"1,1,1","1,1,1",8,2,5,1.477121254719662437295028,30,30,3.703703703703703703703704e-5,4.431363764158987311885084,ok
2,squarefree_3,2,64,"1,1,1","1,1,1",8,2,5,1.477121254719662437295028,30,30,3.703703703703703703703704e-5,4.431363764158987311885084,ok
2,squarefree_3,3,64,"1,1,1","1,1,1",8,2,5,1.477121254719662437295028,30,30,3.703703703703703703703704e-5,4.431363764158987311885084,ok
3,probable_prime,0,64,"1","3",2,3,7,2.004321373782642574275188,101,101,1,0.000000000000000000000000,ok
3,probable_prime,1,64,"1","3",2,3,7,2.004321373782642574275188,101,101,1,0.000000000000000000000000,ok
3,probable_prime,2,64,"1","3",2,3,7,2.004321373782642574275188,101,101,1,0.000000000000000000000000,ok
3,probable_prime,3,64,"1","3",2,3,7,2.004321373782642574275188,101,101,1,0.000000000000000000000000,ok
3,semiprime_balanced,0,64,"1,1","2,2",4,3,8,2.155336037465061809956705,143,143,6.993006993006993006993007e-3,2.155336037465061809956705,ok
3,semiprime_balanced,1,64,"1,1","2,2",4,3,8,2.155336037465061809956705,143,143,6.993006993006993006993007e-3,2.155336037465061809956705,ok
3,semiprime_balanced,2,64,"1,1","2,2",4,3,8,2.155336037465061809956705,143,143,6.993006993006993006993007e-3,2.155336037465061809956705,ok
3,semiprime_balanced,3,64,"1,1","2,2",4,3,8,2.155336037465061809956705,143,143,6.993006993006993006993007e-3,2.155336037465061809956705,ok
3,prime_square,0,64,"2","2",3,3,7,2.082785370316450081500400,121,121,9.090909090909090909090909e-2,1.041392685158225040750200,ok
3,prime_square,1,64,"2","2",3,3,7,2.082785370316450081500400,121,121,9.090909090909090909090909e-2,1.041392685158225040750200,ok
3,prime_square,2,64,"2","2",3,3,7,2.082785370316450081500400,121,121,9.090909090909090909090909e-2,1.041392685158225040750200,ok
3,prime_square,3,64,"2","2",3,3,7,2.082785370316450081500400,121,121,9.090909090909090909090909e-2,1.041392685158225040750200,ok
3,prime_cube,0,64,"3","1",4,3,7,2.096910013008056414358783,125,125,8.000000000000000000000000e-3,2.096910013008056414358783,ok
3,prime_cube,1,64,"3","1",4,3,7,2.096910013008056414358783,125,125,8.000000000000000000000000e-3,2.096910013008056414358783,ok
3,prime_cube,2,64,"3","1",4,3,7,2.096910013008056414358783,125,125,8.000000000000000000000000e-3,2.096910013008056414358783,ok
3,prime_cube,3,64,"3","1",4,3,7,2.096910013008056414358783,125,125,8.000000000000000000000000e-3,2.096910013008056414358783,ok
3,squarefree_3,0,64,"1,1,1","1,1,2",8,3,7,2.008600171761917561048937,102,102,9.423223345470445002299266e-7,6.025800515285752683146810,ok
3,squarefree_3,1,64,"1,1,1","1,1,2",8,3,7,2.008600171761917561048937,102,102,9.423223345470445002299266e-7,6.025800515285752683146810,ok
3,squarefree_3,2,64,"1,1,1","1,1,2",8,3,7,2.008600171761917561048937,102,102,9.423223345470445002299266e-7,6.025800515285752683146810,ok
3,squarefree_3,3,64,"1,1,1","1,1,2",8,3,7,2.008600171761917561048937,102,102,9.423223345470445002299266e-7,6.025800515285752683146810,ok
4,probable_prime,0,64,"1","4",2,4,10,3.003891166236910521715281,1009,1009,1,0.000000000000000000000000,ok
4,probable_prime,1,64,"1","4",2,4,10,3.003891166236910521715281,1009,1009,1,0.000000000000000000000000,ok
4,probable_prime,2,64,"1","4",2,4,10,3.003891166236910521715281,1009,1009,1,0.000000000000000000000000,ok
4,probable_prime,3,64,"1","4",2,4,10,3.003891166236910521715281,1009,1009,1,0.000000000000000000000000,ok
4,semiprime_balanced,0,64,"1,1","2,2",4,4,11,3.028164419424469892534562,1067,1067,9.372071227741330834114339e-4,3.028164419424469892534562,ok
4,semiprime_balanced,1,64,"1,1","2,2",4,4,11,3.028164419424469892534562,1067,1067,9.372071227741330834114339e-4,3.028164419424469892534562,ok
4,semiprime_balanced,2,64,"1,1","2,2",4,4,11,3.028164419424469892534562,1067,1067,9.372071227741330834114339e-4,3.028164419424469892534562,ok
4,semiprime_balanced,3,64,"1,1","2,2",4,4,11,3.028164419424469892534562,1067,1067,9.372071227741330834114339e-4,3.028164419424469892534562,ok
4,prime_square,0,64,"2","2",3,4,11,3.136403448133989993616901,1369,1369,2.702702702702702702702703e-2,1.568201724066994996808451,ok
4,prime_square,1,64,"2","2",3,4,11,3.136403448133989993616901,1369,1369,2.702702702702702702702703e-2,1.568201724066994996808451,ok
4,prime_square,2,64,"2","2",3,4,11,3.136403448133989993616901,1369,1369,2.702702702702702702702703e-2,1.568201724066994996808451,ok
4,prime_square,3,64,"2","2",3,4,11,3.136403448133989993616901,1369,1369,2.702702702702702702702703e-2,1.568201724066994996808451,ok
4,prime_cube,0,64,"3","2",4,4,11,3.124178055474675122250600,1331,1331,7.513148009015777610818933e-4,3.124178055474675122250600,ok
4,prime_cube,1,64,"3","2",4,4,11,3.124178055474675122250600,1331,1331,7.513148009015777610818933e-4,3.124178055474675122250600,ok
4,prime_cube,2,64,"3","2",4,4,11,3.124178055474675122250600,1331,1331,7.513148009015777610818933e-4,3.124178055474675122250600,ok
4,prime_cube,3,64,"3","2",4,4,11,3.124178055474675122250600,1331,1331,7.513148009015777610818933e-4,3.124178055474675122250600,ok
4,squarefree_3,0,64,"1,1,1","2,2,1",8,4,10,3.000434077479318640668921,1001,1001,9.970059900149790279640449e-10,9.001302232437955922006764,ok
4,squarefree_3,1,64,"1,1,1","2,2,1",8,4,10,3.000434077479318640668921,1001,1001,9.970059900149790279640449e-10,9.001302232437955922006764,ok
4,squarefree_3,2,64,"1,1,1","2,2,1",8,4,10,3.000434077479318640668921,1001,1001,9.970059900149790279640449e-10,9.001302232437955922006764,ok
4,squarefree_3,3,64,"1,1,1","2,2,1",8,4,10,3.000434077479318640668921,1001,1001,9.970059900149790279640449e-10,9.001302232437955922006764,ok
5,probable_prime,0,64,"1","5",2,5,14,4.000303899784812491810518,10007,10007,1,0.000000000000000000000000,ok
5,probable_prime,1,64,"1","5",2,5,14,4.000303899784812491810518,10007,10007,1,0.000000000000000000000000,ok
5,probable_prime,2,64,"1","5",2,5,14,4.000303899784812491810518,10007,10007,1,0.000000000000000000000000,ok
5,probable_prime,3,64,"1","5",2,5,14,4.000303899784812491810518,10007,10007,1,0.000000000000000000000000,ok
5,semiprime_balanced,0,64,"1,1","3,3",4,5,14,4.017158598487814779446259,10403,10403,9.612611746611554359319427e-5,4.017158598487814779446259,ok
5,semiprime_balanced,1,64,"1,1","3,3",4,5,14,4.017158598487814779446259,10403,10403,9.612611746611554359319427e-5,4.017158598487814779446259,ok
