band_digits,family,supported,samples_requested,samples_built,d_value,unit_z_count,subunit_z_count,min_neg_log10_z,median_neg_log10_z,max_neg_log10_z,status
1,probable_prime,true,4,4,2,4,0,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,ok
1,semiprime_balanced,true,4,4,4,0,4,0.778151250383643633412589,0.778151250383643633412589,0.778151250383643633412589,ok
1,prime_square,true,4,4,3,0,4,0.301029995663981198017467,0.301029995663981198017467,0.477121254719662435395122,ok
1,prime_cube,true,4,4,4,0,4,0.903089986991943538541250,0.903089986991943538541250,0.903089986991943538541250,ok
1,squarefree_3,false,4,0,8,0,0,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,unsupported_small_band
1,squarefree_6,false,4,0,64,0,0,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,unsupported_small_band
1,smooth_4321,false,4,0,120,0,0,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,unsupported_small_band
2,probable_prime,true,4,4,2,4,0,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,ok
2,semiprime_balanced,true,4,4,4,0,4,1.000000000000000000000000,1.161109647366959762848637,1.322219294733919303652669,ok
2,prime_square,true,4,4,3,0,4,0.698970004336018857493684,0.845098040014256812746396,0.845098040014256812746396,ok
2,prime_cube,true,4,4,4,0,4,1.431363764158987361696518,1.431363764158987361696518,1.431363764158987361696518,ok
2,squarefree_3,true,4,4,8,0,4,4.431363764158986917607308,4.650555817676344183553283,5.535294120042770771306095,ok
2,squarefree_6,false,4,0,64,0,0,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,unsupported_small_band
2,smooth_4321,false,4,0,120,0,0,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,unsupported_small_band
3,probable_prime,true,4,4,2,4,0,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,ok
3,semiprime_balanced,true,4,4,4,0,4,2.426511261364575400278909,2.767819822755477332520968,2.843232778098009561063009,ok
3,prime_square,true,4,4,3,0,4,1.230448921378273885451904,1.476879845866614360261337,1.491361693834272639236360,ok
3,prime_cube,true,4,4,4,0,4,2.096910013008056239414145,2.096910013008056239414145,2.535294120042770327216886,ok
3,squarefree_3,true,4,4,8,0,4,6.063567897209813928327549,6.063567897209813928327549,6.063567897209813928327549,ok
3,squarefree_6,false,4,0,64,0,0,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,unsupported_small_band
3,smooth_4321,false,4,0,120,0,0,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,unsupported_small_band
4,probable_prime,true,4,4,2,4,0,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,ok
4,semiprime_balanced,true,4,4,4,0,4,3.419460072786070448103146,3.700995278134296739835918,3.905849826642318944891485,ok
4,prime_square,true,4,4,3,0,4,1.770852011642144230307849,1.925047297193350326338646,1.986771734266244759936626,ok
4,prime_cube,true,4,4,4,0,4,3.341830056920510383378087,3.691346764134821878400317,3.691346764134821878400317,ok
4,squarefree_3,true,4,4,8,0,4,10.221152444412750170954496,10.350631401204708481600392,10.480374152985564961682030,ok
4,squarefree_6,false,4,0,64,0,0,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,unsupported_small_band
4,smooth_4321,false,4,0,120,0,0,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,unsupported_small_band
5,probable_prime,true,4,4,2,4,0,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,ok
5,semiprime_balanced,true,4,4,4,0,4,4.715727646184952881469599,4.895104121060092516870554,4.982899600456029531869717,ok
5,prime_square,true,4,4,3,0,4,2.195899652409233571148661,2.302916387870264092185835,2.487138375477186524875606,ok
5,prime_cube,true,4,4,4,0,4,4.387193993696868687948154,4.430639537599843080784012,4.900405366738759482814203,ok
5,squarefree_3,true,4,4,8,0,4,12.949357880989968094809228,13.763082036607437785846741,14.229611778877869099346754,ok
5,squarefree_6,true,4,4,64,0,4,144.664958620989921200816752,153.843722682834567194731790,153.843722682834567194731790,ok
5,smooth_4321,true,4,4,120,0,4,287.832785934571177222096594,287.832785934571177222096594,287.832785934571177222096594,ok
6,probable_prime,true,4,4,2,4,0,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,ok
6,semiprime_balanced,true,4,4,4,0,4,5.242509128308582511124314,5.545993284484183050153661,5.664325069396854317460566,ok
6,prime_square,true,4,4,3,0,4,2.706717782336758748584771,2.823759455198782575280347,2.957607287060095124786585,ok
6,prime_cube,true,4,4,4,0,4,5.172827608802367471696471,5.451262307643899518438957,5.848170019934737950961789,ok
6,squarefree_3,true,4,4,8,0,4,15.189988815929785559433185,15.615804487120485077866761,16.574772674894330037886903,ok
6,squarefree_6,true,4,4,64,0,4,175.948276468162106311865500,180.453004985776829016685952,184.216244021972272548737237,ok
6,smooth_4321,true,4,4,120,0,4,330.495903293682715684553841,343.264421839069655106868595,353.868883401969469559844583,ok
7,probable_prime,true,4,4,2,4,0,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,ok
7,semiprime_balanced,true,4,4,4,0,4,6.221210475941070683347789,6.696993404013586115297585,6.922774695998079153014260,ok
7,prime_square,true,4,4,3,0,4,3.079543007402905985259167,3.342589111532626944267577,3.431202884556516785607982,ok
7,prime_cube,true,4,4,4,0,4,6.012964121347927459737548,6.697560953075776701837185,6.883398678484779154018725,ok
7,squarefree_3,true,4,4,8,0,4,18.007904022094670892784052,18.354679031883506468147971,20.655837140726230671816666,ok
7,squarefree_6,true,4,4,64,0,4,202.192253385089344419611734,206.835300477866894652834162,214.553677488601238110277336,ok
7,smooth_4321,true,4,4,120,0,4,362.529878248967349918530090,381.573836468959427747904556,389.367697057847408359521069,ok
8,probable_prime,true,4,4,2,4,0,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,ok
8,semiprime_balanced,true,4,4,4,0,4,7.224762217431597299821533,7.703039393075180818470926,7.851212341651314652324345,ok
8,prime_square,true,4,4,3,0,4,3.582177037688409004800860,3.832162294815321779140049,3.874307833128038947023697,ok
8,prime_cube,true,4,4,4,0,4,7.068077571579368445497948,7.308348073600284600104260,7.346118959715239427055167,ok
8,squarefree_3,true,4,4,8,0,4,22.689729215699141917639281,23.150471065215462829200987,23.847735911765347793789260,ok
