band_digits,family,sample_index,seed,probable_prime_reps,exponent_vector,factor_digit_lengths,d_value,n_digits,n_bits,n_log10,leading16,trailing16,z_sci,neg_log10_z,status
1,probable_prime,0,1729,64,"1","1",2,1,2,0.301029995663981195213739,2,2,1,0.000000000000000000000000,ok
1,probable_prime,1,1729,64,"1","1",2,1,3,0.845098040014256830712216,7,7,1,0.000000000000000000000000,ok
1,probable_prime,2,1729,64,"1","1",2,1,3,0.698970004336018804786261,5,5,1,0.000000000000000000000000,ok
1,probable_prime,3,1729,64,"1","1",2,1,3,0.698970004336018804786261,5,5,1,0.000000000000000000000000,ok
1,semiprime_balanced,0,1729,64,"1,1","1,1",4,1,3,0.778151250383643632508767,6,6,1.666666666666666666666667e-1,0.778151250383643632508767,ok
1,semiprime_balanced,1,1729,64,"1,1","1,1",4,1,3,0.778151250383643632508767,6,6,1.666666666666666666666667e-1,0.778151250383643632508767,ok
1,semiprime_balanced,2,1729,64,"1,1","1,1",4,1,3,0.778151250383643632508767,6,6,1.666666666666666666666667e-1,0.778151250383643632508767,ok
1,semiprime_balanced,3,1729,64,"1,1","1,1",4,1,3,0.778151250383643632508767,6,6,1.666666666666666666666667e-1,0.778151250383643632508767,ok
1,prime_square,0,1729,64,"2","1",3,1,3,0.602059991327962390427478,4,4,5.000000000000000000000000e-1,0.301029995663981195213739,ok
1,prime_square,1,1729,64,"2","1",3,1,4,0.954242509439324874590056,9,9,3.333333333333333333333333e-1,0.477121254719662437295028,ok
1,prime_square,2,1729,64,"2","1",3,1,3,0.602059991327962390427478,4,4,5.000000000000000000000000e-1,0.301029995663981195213739,ok
1,prime_square,3,1729,64,"2","1",3,1,3,0.602059991327962390427478,4,4,5.000000000000000000000000e-1,0.301029995663981195213739,ok
1,prime_cube,0,1729,64,"3","1",4,1,4,0.903089986991943585641217,8,8,1.250000000000000000000000e-1,0.903089986991943585641217,ok
1,prime_cube,1,1729,64,"3","1",4,1,4,0.903089986991943585641217,8,8,1.250000000000000000000000e-1,0.903089986991943585641217,ok
1,prime_cube,2,1729,64,"3","1",4,1,4,0.903089986991943585641217,8,8,1.250000000000000000000000e-1,0.903089986991943585641217,ok
1,prime_cube,3,1729,64,"3","1",4,1,4,0.903089986991943585641217,8,8,1.250000000000000000000000e-1,0.903089986991943585641217,ok
2,probable_prime,0,1729,64,"1","2",2,2,6,1.785329835010767033885749,61,61,1,0.000000000000000000000000,ok
2,probable_prime,1,1729,64,"1","2",2,2,6,1.612783856719735494509412,41,41,1,0.000000000000000000000000,ok
2,probable_prime,2,1729,64,"1","2",2,2,4,1.113943352306836769206505,13,13,1,0.000000000000000000000000,ok
2,probable_prime,3,1729,64,"1","2",2,2,5,1.361727836017592878867777,23,23,1,0.000000000000000000000000,ok
2,semiprime_balanced,0,1729,64,"1,1","1,1",4,2,4,1.000000000000000000000000,10,10,1e-1,1.000000000000000000000000,ok
2,semiprime_balanced,1,1729,64,"1,1","1,1",4,2,5,1.322219294733919268007244,21,21,4.761904761904761904761905e-2,1.322219294733919268007244,ok
2,semiprime_balanced,2,1729,64,"1,1","1,1",4,2,4,1.176091259055681242081289,15,15,6.666666666666666666666667e-2,1.176091259055681242081289,ok
